"","Var1","Freq"
"1","65",17.359
"2","66",33.5897
"3","67",38.6667
"4","68",40.2821
"5","69",43.2564
"6","70",45.9744
"7","71",48.6667
"8","72",51.2308
"9","73",53.8974
"10","74",55.0769
"11","75",55.2821
"12","76",54.359
"13","77",52.7949
"14","78",50.3846
"15","79",49.359
"16","80",45.359
"17","81",42.4103
"18","82",38.8462
"19","83",35.4615
"20","84",32.3846
"21","85",27.641
"22","86",25.0513
"23","87",21.1795
"24","88",19.0769
"25","89",14.8974
"26","90",13.5385
"27","91",10.5897
"28","92",8.7179
"29","93",6.7436
"30","94",4.9744
"31","95",4.3077
"32","96",2.7692
"33","97",2.2308
"34","98",1.4359
"35","99",0.8205
"36","100",0.5641
"37","101",0.2564
"38","102",0.1282
"39","103",0.0513
